LAPORAN HEALTH CHECK CCTV BAGOPS K3I-KORLANTAS    •    21 Jun 2026 08:07 WIB    •    Total 1120   |   Healthy 24   |   Unhealthy 861   |   Timeout 235,,,,,,,,,,,,,,,,,,
NO,CHECK_TIMESTAMP,KATEGORI,SUB KATEGORI,WILAYAH PROJECT,WILAYAH POLDA,NAMA CCTV,IP,LATITUDE,LONGITUDE,RTSP-1,CCTV_ID,Tipe CCTV,IS_ACTIVE_K3I,STATUS_PING,LATENCY_PING_MS,STREAM_TYPE,STREAM_DETAIL,HEALTH_STATUS
1,2026-06-21 08:06:21,BAGOPS,KORLANTAS - TMC,TMC 8 POLRES,Polda Kalimantan Timur,Depan DPRD/Walikota,10.45.42.19,"-1,27734974","116,8280167",rtsp://onvif:lantas123!!@10.45.42.19:554/live/D812C850-06F5-4488-BC3E-9E9B7C7AFCDD,cctv_0023476b-f151-4c0a-a019-82686dc0a276,Arteri,No,OFFLINE,N/A,RTSP,BE 400 (stream tidak tersedia),Unhealthy
2,2026-06-21 08:06:33,BAGOPS,KORLANTAS - TMC,TMC 3 POLRES TA 2022,Polda Sumatera Utara,Dolok Merangir,vms.k3i-korlantas.id,"3,1210819","99,1071273",https://vms.k3i-korlantas.id/K3i/2023/SML-005_Dolok_Merangir.stream/playlist.m3u8,cctv_002d4e8c-72d0-4786-91b3-15033e31f0f6,Arteri,Yes,ONLINE,"32,67",VMS,Playlist timeout,TIMEOUT
3,2026-06-21 08:06:35,BAGOPS,KORLANTAS - RTMC,RTMC 7 POLDA,Polda Metro Jaya,Hyatt Bundaran HI,vms.k3i-korlantas.id,"-6,19517","106,82309",https://vms.k3i-korlantas.id/K3i/METRO/006_Grand+Hyatt+Hotel.stream/playlist.m3u8,cctv_004b3e7a-8cac-442d-ab6b-3f9e98bd1659,Arteri,No,ONLINE,"35,24",VMS,Playlist timeout,TIMEOUT
4,2026-06-21 08:06:25,BAGOPS,KORLANTAS - TMC,TMC 3 POLRES TA 2023,Polda DIY,SP 4 Wirobrajan,vms.k3i-korlantas.id,"-7,801026","110,352146",https://vms.k3i-korlantas.id/K3i/2022/YOGYA-008_SP_4_Wirobrajan.stream/playlist.m3u8,cctv_004db076-1c98-4a2a-b947-6f2a5f09ff6a,Arteri,No,ONLINE,"19,65",VMS,Playlist timeout,TIMEOUT
5,2026-06-21 08:06:33,BAGOPS,KORLANTAS - TMC,TMC 3 POLRES TA 2022,Polda Kalimantan Timur,Simpang Pos 1 Masjid Ar Rahman,vms.k3i-korlantas.id,"-1,24716","116,77539",https://vms.k3i-korlantas.id/K3i/SURAKARTA/SKT-057_Simpang-Empat-Kusumo-Dilagan.stream/playlist.m3u8,cctv_00508043-2a7b-4109-b318-715c2b2ccb01,Arteri,No,ONLINE,"19,53",VMS,Playlist timeout,TIMEOUT
6,2026-06-21 08:06:25,BAGOPS,KORLANTAS - TMC,TMC 3 POLRES TA 2022,Polda Kalimantan Tengah,Polsek Pahandut,vms.k3i-korlantas.id,"-2,20898","113,93333",https://vms.k3i-korlantas.id/K3i/SURAKARTA/SKT-041_Depan-Polsek-Pasar-Kliwon.stream/playlist.m3u8,cctv_00545caf-a1ae-4f89-8f9d-2749c51fd29d,Arteri,No,ONLINE,"42,69",VMS,Playlist timeout,TIMEOUT
7,2026-06-21 08:06:32,BAGOPS,KORLANTAS - RTMC,RTMC 7 POLDA,Polda Metro Jaya,MT Haryono 1,vms.k3i-korlantas.id,"-6,24317","106,85498",https://vms.k3i-korlantas.id/K3i/METRO/069_MT+Haryono+1.stream/playlist.m3u8,cctv_0064fef0-9948-445e-a93b-efa5288e9e1f,Arteri,No,ONLINE,"26,67",VMS,Playlist timeout,TIMEOUT
8,2026-06-21 08:06:21,BAGOPS,KORLANTAS - TMC,TMC 3 POLRES TA 2022,Polda Sumatera Utara,Simp. Jamin Ginting Jl. Tuntungan,172.16.60.3,"3,490789","98,600143",rtsp://onvif:lantas123!!@172.16.60.3:554/live/B6C9D065-DAA2-4C74-893A-F15FC1CE47F0,cctv_00733efd-86fe-42ac-a648-0468cddfdbe1,Arteri,No,OFFLINE,N/A,RTSP,BE 400 (stream tidak tersedia),Unhealthy
9,2026-06-21 08:06:27,BAGOPS,KORLANTAS - RTMC,RTMC 7 POLDA,Polda Bali,Simpang 6 Teuku Umar,10.45.62.41,"-8,67667","115,20651",rtsp://operator:Qwerty654321@@10.45.62.41:554/Streaming/Channels/102/,cctv_00a949f4-28e9-4a05-9bfe-00fc9f7c9cb8,Arteri,Yes,OFFLINE,N/A,RTSP,Video mengalir (7 segmen),Healthy
10,2026-06-21 08:06:37,BAGOPS,KORLANTAS - RTMC,RTMC 7 POLDA,Polda DIY,Simpang 4 Tempel Sleman,vms.k3i-korlantas.id,"-7,65441","110,32556",https://vms.k3i-korlantas.id/K3i/DIY/193_Pos_Polisi_Tempel.stream/playlist.m3u8,cctv_010b1eb8-b5e9-4aad-9aea-2d3b37d0de58,Arteri,Yes,ONLINE,"25,29",VMS,Playlist timeout,TIMEOUT
